report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price
01/07/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,2.49,61,2.49
01/07/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.79,2.99,631,2.48
01/07/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.99,2.5,171,2.41
01/07/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.79,2.48,93,1.49
01/07/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.49,1.96,28,1.66
01/07/2022,Midwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,N/A,3,6.99,53,3.83
01/07/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.5,2.5,152,2.5
01/07/2022,Midwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.79,1.99,222,1.15
01/07/2022,Midwest,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,0.89,2,28,1.51
01/07/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,3,194,2.11
01/07/2022,Midwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.79,2.48,184,1.68
01/07/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.5,3.5,32,2.27
01/14/2022,Midwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.49,1.99,293,1.34
01/14/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,2.49,61,2.49
01/14/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.49,1.49,5,1.49
01/14/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,1.99,336,1.31
01/14/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.5,3.49,242,2.96
01/14/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,2.49,90,1.95
01/14/2022,Midwest,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.49,2.49,24,2.49
01/14/2022,Midwest,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,0.99,0.99,19,0.99
01/14/2022,Midwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.99,2.49,103,1.46
01/14/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,3.49,498,2.5
01/14/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,3.49,3.49,127,3.49
01/14/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,0.99,1.89,34,1.25
01/21/2022,Midwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,1.29,1.99,84,1.66
01/21/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.79,1.99,66,1.92
01/21/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.79,1.99,67,1.96
01/21/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,1.99,26,1.41
01/21/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.99,2.99,12,2.99
01/21/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.5,2.99,35,2.24
01/21/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.59,2.99,95,2.97
01/21/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.5,2.99,294,2.35
01/21/2022,Midwest,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,1.5,1.5,12,1.5
01/21/2022,Midwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,N/A,1.49,2.29,63,1.91
01/21/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.5,3.98,55,3.04
01/21/2022,Midwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.66,1.99,390,1.15
01/28/2022,Midwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.78,2.49,335,1.78
01/28/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.78,1.69,50,0.99
01/28/2022,Midwest,Vegetables,Tomatoes,Cherry Type,Yes,1 pint package,N/A,1.5,1.5,19,1.5
01/28/2022,Midwest,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,1.48,1.48,12,1.48
01/28/2022,Midwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,1.69,1.69,12,1.69
01/28/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.47,2.49,444,2.01
01/28/2022,Midwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,Greenhouse,2.69,2.69,12,2.69
01/28/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.79,2,14,1.95
01/28/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.5,3.99,186,2.86
01/28/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.99,2.99,152,2.99
01/28/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,3,242,2.32
01/28/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,2.49,2.49,23,2.49
01/28/2022,Midwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.49,1.99,524,1.15
02/04/2022,Midwest,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,0.99,1.5,27,1.22
02/04/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,2.88,456,2.22
02/04/2022,Midwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.78,2.49,177,1.77
02/04/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.99,2,20,1.99
02/04/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.5,2.99,35,2.07
02/04/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,1.5,2.99,100,2.81
02/04/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,3,142,2.32
02/04/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.69,2.59,112,1.69
02/04/2022,Midwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.49,1.99,141,1.88
02/04/2022,Midwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.69,1.99,724,0.99
02/04/2022,Midwest,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.49,1.49,50,1.49
02/11/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.77,3.99,49,3.21
02/11/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.88,2.99,399,1.77
02/11/2022,Midwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,3.29,3.29,12,3.29
02/11/2022,Midwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.5,2.5,530,2.23
02/11/2022,Midwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.59,1.99,1586,1.05
