report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price
01/07/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,2.99,240,1.32
01/07/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,3.5,610,3.04
01/07/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.67,2.5,513,2.31
01/07/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,3.5,3.5,37,3.5
01/07/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.29,2.99,57,1.6
01/07/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,0.98,2.99,42,2.3
01/07/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.29,3.99,802,1.99
01/07/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,2.99,295,2.92
01/07/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.89,3,504,2.08
01/07/2022,Northeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.49,2.49,57,2.49
01/07/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,N/A,1.5,1.5,43,1.5
01/07/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,3.99,3.99,6,3.99
01/14/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.49,3,1075,2
01/14/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.99,2.99,27,2.29
01/14/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,2.99,111,1.14
01/14/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.29,2.88,342,1.8
01/14/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,3.99,155,3.37
01/14/2022,Northeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.99,2.99,255,2.99
01/14/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,1.49,2.49,244,2.04
01/14/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,N/A,2.49,2.49,9,2.49
01/14/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,3.99,3.99,6,3.99
01/14/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,3,3,123,3
01/14/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,2.99,442,1.43
01/14/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,3,997,2.99
01/21/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,1.29,2.99,331,2.32
01/21/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.88,2.99,111,1.79
01/21/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,2.99,2.99,8,2.99
01/21/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,Greenhouse,3.99,3.99,8,3.99
01/21/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.49,2.49,588,1.85
01/21/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,3.99,3.99,263,3.99
01/21/2022,Northeast,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,2.5,3,155,2.76
01/21/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,N/A,1.69,3.99,113,3.11
01/21/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,3.99,3.99,6,3.99
01/21/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,3.79,3.79,74,3.79
01/21/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.5,3,1377,2.1
01/21/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,3.99,368,3.12
01/21/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,2.99,667,1.34
01/28/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,1.29,1.99,212,1.92
01/28/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,2.99,3.99,46,3.86
01/28/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,2.99,1365,1.2
01/28/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.29,2.99,151,2.09
01/28/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,N/A,3.99,3.99,8,3.99
01/28/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,3.99,325,3.72
01/28/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,3.49,593,2.08
01/28/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.99,2.99,57,2.4
01/28/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,3,3,81,3
01/28/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,3.99,353,2.89
01/28/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.29,3,867,2.47
02/04/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.25,2.99,621,2.26
02/04/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.49,3.5,117,2.13
02/04/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,3.99,1100,3.41
02/04/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,2.99,677,1.35
02/04/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,Greenhouse,2.79,3.99,30,3.11
02/04/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.99,2.49,501,1.74
02/04/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.99,2.99,119,2.41
02/04/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.88,2.99,446,1.79
02/04/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,3.99,3.99,8,3.99
02/04/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,N/A,1.49,1.49,43,1.49
02/04/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.98,2.99,66,2.38
02/11/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,N/A,3.99,3.99,43,3.99
02/11/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.5,2.49,45,2.11
