report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price
01/07/2022,Northwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.98,2.69,248,1.5
01/07/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.99,2.39,60,2.26
01/07/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.5,1.5,34,1.5
01/07/2022,Northwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.48,1.98,25,1.82
01/07/2022,Northwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,2.49,19,2.49
01/07/2022,Northwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.28,2.49,272,2.31
01/14/2022,Northwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,2.49,19,2.49
01/14/2022,Northwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,4.98,4.98,3,4.98
01/14/2022,Northwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.98,0.98,11,0.98
01/14/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.69,1.89,45,1.87
01/14/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.5,2.5,35,1.99
01/14/2022,Northwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.69,1.99,19,1.85
01/14/2022,Northwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.79,2.49,59,2.06
01/14/2022,Northwest,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,N/A,1.98,1.98,17,1.98
01/21/2022,Northwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,2.98,2.98,3,2.98
01/21/2022,Northwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,1.49,375,1.18
01/21/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.99,2.99,206,2.99
01/21/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.5,2,24,1.6
01/21/2022,Northwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,1.28,1.79,20,1.54
01/21/2022,Northwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.98,1.99,34,1.93
01/21/2022,Northwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.49,2.28,53,1.74
01/28/2022,Northwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.69,1.59,163,0.94
01/28/2022,Northwest,Vegetables,Tomatoes,Cherry Type,Yes,1 pint package,N/A,3.98,3.98,17,3.98
01/28/2022,Northwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.98,0.98,2,0.98
01/28/2022,Northwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.68,2.49,44,2.21
01/28/2022,Northwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,2.99,2.99,17,2.99
01/28/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.99,3.98,37,3.17
01/28/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.99,1.99,5,1.99
01/28/2022,Northwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,2,41,1.88
02/04/2022,Northwest,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.99,1.99,12,1.99
02/04/2022,Northwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,3.99,3.99,23,3.99
02/04/2022,Northwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.98,3.99,23,2.94
02/04/2022,Northwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,N/A,3.49,4.99,128,3.57
02/04/2022,Northwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.98,1.49,250,1.4
02/04/2022,Northwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.49,1.98,21,1.63
02/04/2022,Northwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,0.99,1.49,37,1.26
02/04/2022,Northwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,0.99,5,0.99
