report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price
01/07/2022,Southcentral,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,2.5,2.5,87,2.5
01/07/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.25,1.5,105,1.26
01/07/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,3,3,32,3
01/07/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.49,2.5,115,1.98
01/07/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.99,3,65,2.99
01/07/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.58,1.29,388,0.92
01/07/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,2.29,2.29,116,2.29
01/07/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,2.29,2.49,43,2.42
01/07/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.89,2.49,46,1.38
01/07/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.63,2.88,293,1.8
01/07/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,2.49,71,2.49
01/14/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,2.49,300,1.95
01/14/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,0.99,2.5,131,1.87
01/14/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.5,3.49,52,3.03
01/14/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.69,1.69,78,1.69
01/14/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.69,1.69,29,1.69
01/14/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.5,1.38,336,0.89
01/14/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.78,1.78,161,1.61
01/14/2022,Southcentral,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,N/A,1.29,1.29,60,1.29
01/14/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,2.49,71,2.49
01/21/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.5,1.19,549,0.77
01/21/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.49,2.5,53,2.39
01/21/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.09,2.99,270,2.54
01/21/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,0.99,2.99,410,2.56
01/21/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.99,1.99,228,1.99
01/21/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.88,1.49,403,1.01
01/21/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.99,1.99,253,1.65
01/21/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.98,2.69,273,1.07
01/28/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.98,1.99,241,1.19
01/28/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,1.49,280,1.29
01/28/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.25,1.69,12,1.47
01/28/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.79,2.49,211,2.01
01/28/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.39,2.49,154,2.22
01/28/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.5,1.29,556,0.83
01/28/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,2.5,8,2.5
01/28/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.19,3,452,2.32
02/04/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.99,2.99,6,2.99
02/04/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.99,2.99,5,2.99
02/04/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.5,1.5,99,1.5
02/04/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,0.97,2.5,284,1.52
02/04/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.88,1.88,150,1.39
02/04/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.29,2.88,184,2.05
02/04/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.49,1.99,822,1.07
02/04/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,2.59,251,1.76
02/04/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,0.98,1.99,89,1.62
02/11/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.5,2.5,342,2.17
02/11/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.48,2.49,231,2.06
02/11/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.5,1.29,1145,0.89
02/11/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.78,1.79,314,1.15
02/11/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,2.59,130,1.8
02/11/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,0.99,1.59,37,1.41
02/11/2022,Southcentral,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,2.98,2.98,18,2.98
02/18/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,2.99,167,1.89
02/18/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.99,2.99,32,2.99
02/18/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.49,2.49,10,2.49
02/18/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.5,3.99,412,2.64
02/18/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.75,1.69,240,0.9
02/18/2022,Southcentral,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,Greenhouse,2.98,2.98,99,2.98
02/18/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.49,1.19,604,0.87
02/18/2022,Southcentral,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,1.47,1.47,178,1.47
02/18/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.98,2.99,63,2.99
02/18/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.29,2.49,219,1.95
02/18/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.29,1.99,269,1.47
02/18/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.89,2.77,292,1.37
02/25/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.29,1.79,109,1.51
02/25/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.49,1.49,19,1.49
02/25/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.98,1.49,160,1.19
02/25/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.49,2.99,215,2.19
02/25/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.5,2.99,140,1.84
02/25/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.49,1.29,753,0.85
02/25/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.98,2.98,587,1.39
03/04/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.19,1.19,10,1.19
03/04/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.97,1.39,79,1.17
03/04/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,2.49,769,1.65
03/04/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.89,1.98,244,1.23
03/04/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.5,1.29,465,0.92
03/04/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.99,2.99,205,2.19
03/04/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,2.5,2.5,99,2.5
03/11/2022,Southcentral,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.79,1.69,323,1.13
03/11/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.99,1.99,26,1.99
03/11/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.97,1.49,178,1.04
03/11/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,0.99,1.49,236,1.4
03/11/2022,Southcentral,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.57,1.29,282,0.85
03/11/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.99,2.5,40,2.43
03/11/2022,Southcentral,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.99,2.99,178,2.99
03/11/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.97,1.88,498,1.08
03/11/2022,Southcentral,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.49,2.49,26,2.49
