report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price
01/07/2022,Southwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.5,2.99,262,2.04
01/07/2022,Southwest,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.49,2.49,53,2.49
01/07/2022,Southwest,Vegetables,Tomatoes,Cherry Type,Yes,1 pint package,N/A,1.99,3.5,21,2.57
01/07/2022,Southwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,3.99,3.99,12,3.99
01/07/2022,Southwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,0.99,227,0.99
01/07/2022,Southwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,1.99,3.49,362,3.12
01/07/2022,Southwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.5,2.69,271,0.99
01/07/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.99,2.99,711,2.87
01/07/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.25,2.49,360,1.87
01/14/2022,Southwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.79,0.99,43,0.96
01/14/2022,Southwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,1.25,2.49,362,2.3
01/14/2022,Southwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.5,1.67,457,0.81
01/14/2022,Southwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,3.99,3.99,12,3.99
01/14/2022,Southwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.99,2.99,481,2.44
01/14/2022,Southwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.5,0.99,14,0.78
01/14/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2,2,50,2
01/14/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,1.5,47,1.11
01/14/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,2.5,2.5,356,2.5
01/21/2022,Southwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.98,2.49,21,2.1
01/21/2022,Southwest,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,1.99,1.99,13,1.99
01/21/2022,Southwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,1.99,1.99,56,1.99
01/21/2022,Southwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.5,0.99,52,0.91
01/21/2022,Southwest,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.49,2.49,12,2.49
01/21/2022,Southwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.5,0.79,43,0.59
01/21/2022,Southwest,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.49,1.49,50,1.49
01/21/2022,Southwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.5,1.49,841,0.92
01/21/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,3.5,3.5,8,3.5
01/21/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,1.99,32,1.59
01/21/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2,2,42,2
01/28/2022,Southwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.5,2.29,60,0.95
01/28/2022,Southwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,2.99,1520,2.4
01/28/2022,Southwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,2.49,3.99,216,2.67
01/28/2022,Southwest,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.33,0.99,468,0.78
01/28/2022,Southwest,Vegetables,Tomatoes,Cherry Type,Yes,1 pint package,N/A,1.99,1.99,171,1.99
01/28/2022,Southwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,Greenhouse,3.99,3.99,8,3.99
01/28/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,2.5,17,1.98
01/28/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.99,2.99,427,2.59
02/04/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.25,2,422,1.73
02/04/2022,Southwest,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.5,1.99,311,1.43
02/04/2022,Southwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.99,3.49,260,3.48
02/04/2022,Southwest,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,1.49,2.49,787,2.19
02/04/2022,Southwest,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,Yes,per lb,N/A,4.99,4.99,26,4.99
02/04/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,3,3,16,3
02/04/2022,Southwest,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.5,2.99,602,2.85
02/04/2022,Southwest,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.5,0.99,19,0.7
